edge2,edge1,id,Year
62211,58618,58618,2014
3107,58618,58618,2014
55396,58618,58618,2014
60721,58618,58618,2014
42790,58618,58618,2014
33824,58618,58618,2014
23334,58618,58618,2014
53635,58618,58618,2014
4190,58618,58618,2014
5737,58633,58633,2014
53493,58633,58633,2014
20540,58633,58633,2014
22789,58633,58633,2014
21977,58633,58633,2014
53610,58633,58633,2014
53232,58633,58633,2014
2009,58633,58633,2014
59796,58633,58633,2014
43768,58633,58633,2014
56070,58633,58633,2014
5768,58633,58633,2014
42005,58640,58640,2014
53836,58640,58640,2014
4178,58640,58640,2014
53760,58640,58640,2014
51393,58640,58640,2014
53256,58640,58640,2014
3081,58640,58640,2014
37696,58640,58640,2014
55609,58640,58640,2014
41832,58640,58640,2014
55881,58640,58640,2014
3400,58640,58640,2014
3423,58640,58640,2014
53965,58640,58640,2014
56059,58653,58653,2014
60066,58653,58653,2014
55805,58653,58653,2014
22349,58653,58653,2014
53511,58653,58653,2014
20840,58653,58653,2014
53967,58653,58653,2014
53510,58653,58653,2014
58868,58653,58653,2014
53195,58653,58653,2014
3081,58653,58653,2014
60003,58653,58653,2014
53258,58653,58653,2014
3077,58653,58653,2014
41217,58653,58653,2014
3423,58653,58653,2014
3303,58672,58672,2014
3005,58672,58672,2014
3034,58672,58672,2014
3246,58672,58672,2014
62604,58672,58672,2014
55451,58672,58672,2014
3442,58672,58672,2014
62600,58672,58672,2014
55399,58672,58672,2014
3234,58672,58672,2014
1970,58673,58673,2014
51393,58673,58673,2014
62601,58673,58673,2014
21903,58673,58673,2014
59703,58673,58673,2014
51638,58673,58673,2014
23561,58673,58673,2014
3190,58673,58673,2014
3405,58673,58673,2014
23737,58673,58673,2014
22132,58688,58688,2011
53951,58688,58688,2011
53691,58688,58688,2011
52268,58688,58688,2011
2280,58688,58688,2011
52623,58688,58688,2011
1915,58688,58688,2011
1912,58688,58688,2011
55997,58688,58688,2011
45787,58697,58697,2011
36826,58697,58697,2011
34718,58697,58697,2011
34010,58697,58697,2011
35289,58697,58697,2011
58521,58697,58697,2011
62222,58697,58697,2011
56172,58697,58697,2011
36829,58697,58697,2011
43796,58697,58697,2011
3303,58707,58707,2011
19966,58707,58707,2011
38034,58707,58707,2011
3476,58707,58707,2011
3509,58707,58707,2011
51393,58707,58707,2011
7102,58707,58707,2011
60408,58707,58707,2011
20600,58707,58707,2011
55609,58707,58707,2011
3358,58707,58707,2011
3683,58707,58707,2011
52581,58707,58707,2011
55842,58707,58707,2011
20481,58707,58707,2011
3442,58707,58707,2011
37962,58707,58707,2011
3267,58707,58707,2011
1875,58707,58707,2011
3405,58707,58707,2011
53965,58707,58707,2011
53374,58716,58716,2011
60776,58716,58716,2011
58806,58716,58716,2011
22312,58716,58716,2011
55388,58716,58716,2011
60411,58716,58716,2011
62300,58716,58716,2011
61918,58716,58716,2011
4016,58716,58716,2011
53228,58727,58727,2010
3303,58727,58727,2010
17281,58727,58727,2010
3476,58727,58727,2010
55593,58727,58727,2010
3916,58727,58727,2010
21902,58727,58727,2010
37975,58727,58727,2010
58768,58727,58727,2010
18633,58727,58727,2010
53810,58727,58727,2010
22341,58727,58727,2010
22307,58727,58727,2010
22530,58733,58733,2010
3561,58733,58733,2010
22612,58733,58733,2010
22686,58733,58733,2010
53157,58733,58733,2010
44311,58733,58733,2010
22320,58733,58733,2010
53837,58733,58733,2010
55422,58733,58733,2010
3635,58753,58753,2010
3351,58753,58753,2010
